Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","MXOnly-1U-NoLED",157.162500,-34.131250,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-NoLED",176.212500,-34.131250,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-NoLED",195.262500,-34.131250,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-NoLED",214.312500,-34.131250,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-NoLED",157.162500,-53.181250,0.000000,top
"MX6","MX-NoLED","MXOnly-1U-NoLED",176.212500,-53.181250,0.000000,top
"MX7","MX-NoLED","MXOnly-1U-NoLED",195.262500,-53.181250,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-NoLED",214.312500,-53.181250,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-NoLED",157.162500,-72.231250,0.000000,top
"MX10","MX-NoLED","MXOnly-1U-NoLED",176.212500,-72.231250,0.000000,top
"MX11","MX-NoLED","MXOnly-1U-NoLED",195.262500,-72.231250,0.000000,top
"MX12","MX-NoLED","MXOnly-1U-NoLED",214.312500,-72.231250,0.000000,top
"MX13","MX-NoLED","MXOnly-1U-NoLED",157.162500,-91.281250,0.000000,top
"MX14","MX-NoLED","MXOnly-1U-NoLED",176.212500,-91.281250,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-NoLED",195.262500,-91.281250,0.000000,top
"MX16","MX-NoLED","MXOnly-1U-NoLED",214.312500,-91.281250,0.000000,top
